rank,youtuber,subscribers,video_views,video_count,category,started
1,T-Series,222000000,198459090822,17317,Music,2006-01-01
3,Cocomelon - Nursery Rhymes,140000000,135481339848,786,Education,2006-01-01
4,SET India,139000000,125764252686,91271,Shows,2006-01-01
6,PewDiePie,111000000,28469458228,4497,Gaming,2010-01-01
7,MrBeast,102000000,16832456681,726,Entertainment,2012-01-01
8,✿ Kids Diana Show,99700000,79602288245,1009,People & Blogs,2015-01-01
9,Like Nastya,99200000,81963845811,702,People & Blogs,2016-01-01
11,WWE,90200000,70544743313,63077,Sports,2007-01-01
12,Zee Music Company,86700000,49067711243,6603,Music,2014-01-01
13,Vlad and Niki,85100000,66498762660,472,Entertainment,2018-01-01
14,5-Minute Crafts,77100000,23881457195,5581,Howto & Style,2016-01-01
15,BLACKPINK,76200000,24707415704,397,People & Blogs,2016-01-01
17,Goldmines,74100000,18533088438,3968,Film & Animation,2012-01-01
18,Sony SAB,70600000,82473581441,56295,Shows,2007-01-01
19,BANGTANTV,70000000,17471090750,1787,Music,2012-01-01
20,Justin Bieber,69700000,28567240999,247,Music,2007-01-01
21,HYBE LABELS,67800000,24013849120,971,Music,2008-01-01
22,Canal KondZilla,65900000,36576704790,2313,Music,2012-01-01
23,Zee TV,63000000,17111576122,60802,Entertainment,2005-01-01
24,Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010-01-01
25,Pinkfong Baby Shark - Kids' Songs & Stories,59400000,32107290522,2374,Education,2011-01-01
26,Dude Perfect,58100000,14742860905,297,Sports,2009-01-01
27,ChuChu TV Nursery Rhymes & Kids Songs,57700000,39266652127,506,Education,2013-01-01
28,Movieclips,57600000,58839819120,39202,Film & Animation,2006-01-01
29,Marshmello,55700000,13445424556,401,Entertainment,2015-01-01
30,Colors TV,55100000,52611504230,87427,Shows,2008-01-01
31,Wave Music,53400000,37230876862,18622,Music,2014-01-01
32,EminemMusic,53000000,23717869724,140,Music,2007-01-01
33,Aaj Tak,52900000,20204939173,196497,News & Politics,2009-01-01
34,Tips Official,52800000,27883080973,3612,Music,2007-01-01
35,T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011-01-01
36,Sony Music India,52400000,24856641898,3180,Music,2009-01-01
37,Ed Sheeran,52200000,27881781761,253,Music,2006-01-01
38,El Reino Infantil,51700000,49895247456,1309,Music,2011-01-01
39,Ariana Grande,51600000,22158094076,146,Music,2007-01-01
40,LooLoo Kids - Nursery Rhymes and Children's Songs,49800000,29013984394,553,Music,2014-01-01
41,YRF,47600000,29366788406,3289,Film & Animation,2006-01-01
42,Taylor Swift,47100000,25563795998,189,Music,2006-01-01
43,Billie Eilish,46200000,11999349578,48,Music,2013-01-01
44,JuegaGerman,46100000,13698034536,1959,Gaming,2013-01-01
45,BillionSurpriseToys - English Kids Songs & Cartoon,45700000,8590657189,648,Education,2013-01-01
46,Infobells - Hindi,45600000,25635591765,476,Education,2014-01-01
47,Badabun,45600000,18567925780,13814,Entertainment,2014-01-01
48,Fernanfloo,45100000,9966728650,541,Gaming,2011-01-01
49,Felipe Neto,44300000,15475571879,3512,Entertainment,2006-01-01
50,BRIGHT SIDE,43900000,10058536263,4540,Howto & Style,2017-01-01
51,whinderssonnunes,43900000,4120078906,521,Comedy,2013-01-01
52,Você Sabia?,43300000,7284075395,1315,Entertainment,2013-01-01
53,HolaSoyGerman.,43300000,4735959546,136,Entertainment,2011-01-01
54,Katy Perry,43200000,23966278157,118,Music,2008-01-01
55,SonyMusicIndiaVEVO,42700000,23991411417,3309,Music,2009-01-01
56,Bad Bunny,42500000,23748805401,123,Music,2014-01-01
57,Alan Walker,42200000,11731228995,318,Music,2012-01-01
58,Like Nastya Show,41500000,18745015002,599,Entertainment,2017-01-01
59,Get Movies,41300000,28559341412,3963,Entertainment,2006-01-01
60,A4,41200000,16717234472,645,Gaming,2014-01-01
61,Speed Records,40800000,24558172214,10327,Music,2012-01-01
62,ABS-CBN Entertainment,40600000,47544242811,179522,People & Blogs,2008-01-01
63,elrubiusOMG,40400000,7483116325,705,Gaming,2011-01-01
64,Shemaroo,39700000,20489429972,9707,Entertainment,2007-01-01
65,Rihanna,39600000,20092128845,79,Entertainment,2005-01-01
66,Little Baby Bum - Nursery Rhymes & Kids Songs,39500000,37136069429,1989,Education,2011-01-01
67,Luisito Comunica,39200000,7691260396,1119,Comedy,2012-01-01
68,Voot Kids,38800000,17685426640,3282,Entertainment,2016-01-01
69,Маша и Медведь,38700000,32833907997,1198,Film & Animation,2011-01-01
70,TheEllenShow,38300000,22335550787,14404,Entertainment,2006-01-01
71,LUCCAS NETO - LUCCAS TOON,37800000,20454693770,1875,People & Blogs,2014-01-01
72,Ishtar Music,37800000,14999240876,4535,Trailers,2005-01-01
73,GR6 EXPLODE,37600000,23912270526,4180,Music,2014-01-01
74,XXXTENTACION,37600000,9725253939,126,Music,2015-01-01
75,One Direction,37400000,12698961117,157,Music,2010-01-01
76,Shakira,37200000,23715669906,287,People & Blogs,2005-01-01
77,Kimberly Loaiza,37200000,4254148920,206,People & Blogs,2016-01-01
78,WorkpointOfficial,37000000,33773658170,62039,Entertainment,2012-01-01
79,Daddy Yankee,36800000,20479831396,423,Music,2011-01-01
80,Toys and Colors,36500000,40932580174,821,Entertainment,2016-01-01
81,CarryMinati,36300000,2948237121,178,Comedy,2014-01-01
83,Maroon 5,36000000,20838666788,163,Music,2006-01-01
84,shfa,35900000,19083355034,847,People & Blogs,2015-01-01
85,TEDx Talks,35900000,6660397688,185006,Nonprofits & Activism,2009-01-01
86,shfa2 - شفا,35800000,20816532667,1351,People & Blogs,2017-01-01
87,Jkk Entertainment,35700000,15133442317,194,Comedy,2017-01-01
88,Super Simple Songs - Kids Songs,35300000,37440873935,600,Education,2006-01-01
89,Bruno Mars,35300000,17395825825,97,Music,2006-01-01
90,Ozuna,35200000,21048440606,137,Music,2016-01-01
91,Masha and The Bear,35100000,19426654260,935,Shows,2014-01-01
92,one31,34400000,26969165355,128901,Entertainment,2013-01-01
93,Goldmines Gaane Sune Ansune,34300000,14212434275,3171,Music,2015-01-01
94,Like Nastya ESP,33600000,15934957738,630,Entertainment,2017-01-01
95,J Balvin,33600000,21489532517,134,Music,2011-01-01
96,Mikecrack,33500000,13775632479,1727,Gaming,2015-01-01
97,VEGETTA777,33400000,14948682643,7130,Gaming,2008-01-01
98,Ultra Bollywood,33400000,15508274562,9078,Trailers,2009-01-01
99,Markiplier,33300000,18701808550,5200,Gaming,2012-01-01
100,YouTube,33300000,2725286912,540,News & Politics,1970-01-01
101,ABP NEWS,33200000,10421462788,224455,People & Blogs,2012-01-01
102,Total Gaming,33200000,5935440954,1894,Gaming,2018-01-01
103,Maria Clara & JP,33100000,20224535670,627,People & Blogs,2015-01-01
104,Desi Music Factory,33000000,9481987642,125,Music,2014-01-01
105,Ryan's World,32900000,51721734476,2198,Entertainment,2015-01-01
106,Geet MP3,32800000,11575367431,563,Music,2016-01-01
107,Sony PAL,32700000,23519452138,19383,Shows,2014-01-01
108,NoCopyrightSounds,32700000,10436881173,1116,Music,2011-01-01
109,SSSniperWolf,32500000,20583922757,3095,Gaming,2013-01-01
110,T-Series Apna Punjab,32300000,18933492606,6524,Music,2011-01-01
111,ARY Digital HD,32200000,25304311207,71075,Entertainment,2016-01-01
112,KHANDESHI MOVIES,32100000,10676727914,191,Comedy,2013-01-01
113,IndiaTV,31900000,13417041251,237971,News & Politics,2006-01-01
114,HAR PAL GEO,31900000,26003463646,61818,Entertainment,2008-01-01
115,JustinBieberVEVO,31800000,25304909929,205,Music,2009-01-01
116,Ch3Thailand,31600000,20335720484,76039,Entertainment,2014-01-01
117,La Granja de Zenón,31500000,22808879757,558,Music,2013-01-01
118,GENIAL,31400000,6362416164,5453,Howto & Style,2017-01-01
119,Eros Now Music,31000000,16582648732,9807,Entertainment,2007-01-01
